english,hindi
bhaanp,भाँप
bhaamph,भाँप
uriyaan,उरियाँ
sitaan,सिताँ
zali,ज़ली
dhaanp,धाँप
saratiyaa,सरतिया
bidh,बिध
naahin,नाहिं
umad,उमड़
tarasaayen,तरसायें
sautane,सौतने
aathon,आठों
pahar,पहर
paher,पहर
pehar,पहर
jalaayen,जलायें
intezaar,इंतेज़ार
intazaar,इंतेज़ार
sahami,सहमी
saihmi,सहमी
sehmi,सहमी
sahmi,सहमी
sahamii,सहमी
khili,खिली
khilii,खिली
soyi,सोयी
tadapan,तड़पन
tadpan,तड़पन
musakaaye,मुसकाये
muskaaye,मुसकाये
bichh,बिछ
bich,बिछ
nyaare,न्यारे
hilamil,हिलमिल
chitaa,चिता
chita,चिता
chitaah,चिता
kharidaar,खरीदार
adhura,अधूरा
adhoora,अधूरा
adhuura,अधूरा
adhooraa,अधूरा
adhuraa,अधूरा
adhuuraa,अधूरा
thhukraayein,ठुकरायें
jhagde,झगड़े
thumak,ठुमक
thumuk,ठुमक
chitachor,चितचोर
chitchor,चितचोर
shikaari,शिकारी
shikaar,शिकारी
shikari,शिकारी
shikaaree,शिकारी
muqaabala,मुक़ाबला
saloni,सलोनी
muqaabil,मुक़ाबिल
tane,तने
paara,पारा
garib,गरीब
gareeb,गरीब
gariib,गरीब
sukhi,सुखी
kilkaari,किलकारी
kilakaari,किलकारी
gharbaar,घरबार
gharabaar,घरबार
ghatega,घटेगा
kushhaal,ख़ुशहाल
jaykaar,जयकार
jayakaar,जयकार
bhukhe,भूखे
bhuukhe,भूखे
piyu,पीयू
bhayenge,भाएँगे
bhaaenge,भाएँगे
baan,बान
mope,मोपे
lagat,लगत
milaai,मिलाई
milai,मिलाई
milaayi,मिलाई
milayi,मिलाई
dulaara,दुलारा
bhaar,भार
ungali,उँगली
ungalee,उँगली
ungli,उँगली
sikhalaaun,सिखलाऊँ
naana,नाना
naanaa,नाना
pahachaanate,पहचानते
pahchaante,पहचानते
pahachaante,पहचानते
sharabi,सराबी
gali,गाली
gaali,गाली
gaalii,गाली
saali,साली
gile,गिले
naachoongi,नाचूँगी
naachuungi,नाचूँगी
nachungi,नाचूँगी
nachoongi,नाचूँगी
naachuungii,नाचूँगी
padega,पड़ेगा
padegaa,पड़ेगा
parega,पड़ेगा
tesan,टेशन
chaabukh,चाबुक
chaabuk,चाबुक
gaaliyaan,गालियाँ
waaliyaan,वालियाँ
valiyan,वालियाँ
vaaliyaan,वालियाँ
taange,ताँगे
taangen,ताँगे
patang,पतंग
bujhaaye,बुझाएँ
bujhaayen,बुझाएँ
bujhaayein,बुझाएँ
arz,अर्ज़
araz,अर्ज़
mukammal,मुकम्मल
saahab,साहब
sahab,साहब
chiraagho,चिराग़ों
chiraago,चिराग़ों
chiraaghon,चिराग़ों
farq,फ़र्क़
dimaago,दिमाग़ों
tadpaake,तड़पाके
tadapaake,तड़पाके
shaayari,शायरी
shayari,शायरी
shayri,शायरी
shaayri,शायरी
shaayarii,शायरी
bacho,बचो
reshmi,रेश्मी
sitamgar,सितमगर
sitamagar,सितमगर
poochhte,पूछते
puuchhate,पूछते
poochhate,पूछते
chhodenge,छोडेंगे
wanna,वाना
wana,वाना
vaana,वाना
walk,वॉक
with,वित
bekhayaal,बेखायाल
must,मस्ट
its,इट्स
feel,फील
du,डू
sine,सिने
jaanu,जानू
janu,जानू
jaanuu,जानू
something,सम्तिंग
sumthing,सम्तिंग
no,नो
anjaani,अंजानी
rawaani,रवानी
ravaani,रवानी
rawaanee,रवानी
rawani,रवानी
ravaanii,रवानी
ravani,रवानी
shaayara,शायरा
shayara,शायरा
rangato,रनगातो
rangaton,रनगातो
daayara,दायरा
daiyra,दायरा
dayera,दायरा
juldi,जुल्दी
ulati,उलटी
ulti,उलटी
sidhi,सीधी
siidhi,सीधी
sidi,सीधी
hawaan,हवाँ
jannato,जन्नाटो
gudgudaake,गुदगुदाके
muhabbaton,मुहब्बातों
mohabbaton,मुहब्बातों
gumshuda,गुमशुदा
guftagu,गुफ्तगू
justaju,जूसतजू
nacha,नाचा
nachle,नाचा
naacha,नाचा
naal,नाल
move,मूव
let,लेट
lets,लेट
get,गेट
fida,फिदा
fidaaa,फिदा
pan,पं
simat,सिमट
basati,बसती
baste,बसती
basti,बसती
jindagi,जिंदगी
zindagi,जिंदगी
jindagee,जिंदगी
fasaana,फसाना
fasana,फसाना
payenge,पाएँगे
paayenge,पाएँगे
chahun,चाहु
chaahu,चाहु
sakun,साकु
saku,साकु
deni,देनी
bahi,बही
leni,लेनी
honto,होंटो
kudi,कूदी
kabaab,कबाब
mundiya,मुंडिया
kol,कॉल
singing,सिंगिंग
winging,विंगिंग
dekhake,देखके
dekhke,देखके
adaayein,अदायें
adaayen,अदायें
adaaye,अदायें
munda,मुंडा
mundaa,मुंडा
punjaabi,पुंजाबी
tol,तोल
jaapaani,जापानी
japani,जापानी
sachchi,सच्ची
sachchii,सच्ची
sachchee,सच्ची
dupatta,दुपट्टा
dupattaa,दुपट्टा
tilledaar,टिल्लेदार
pyaale,प्याले
pyale,प्याले
hunde,हुंदे
husnaawaale,हुसनावाले
kasmaanu,कसमानु
kurbaan,कुर्बान
qurbaan,कुर्बान
jind,जिंद
meriye,मेरिए
bandishon,बंदिशों
kudako,कुडको
kud,कूद
kuud,कूद
darmiyaan,दरमियाँ
darmiya,दरमियाँ
daramiyaan,दरमियाँ
darmiyan,दरमियाँ
rehgujar,रहगुजर
rehguzar,रहगुजर
gujarata,गुजरता
falsafa,फलसफा
kisika,किसिका
it,इट
its,इट
piragi,पीरगी
jhut,झुत
gum,घूम
charah,सराह
saraah,सराह
ragon,रागों
samaya,समाया
samaayaa,समाया
samaaya,समाया
maani,मानी
mani,मानी
when,वेन
said,साइड
darr,दर्र
go,गो
for,फॉर
t,त
listen,लिसन
word,वर्ड
forever,फॉरेवर
an,आन
iss,इश्स
muskara,मुस्करा
muskaraa,मुस्करा
muskuraa,मुस्करा
balah,बलाह
modh,मोड़
aasma,आस्मा
dishaoo,दिशाऊ
kaafila,काफिला
falak,फलक
sunehare,सुनेहरे
sunehre,सुनेहरे
aapni,आपनी
apni,आपनी
aamber,आमबर
ambar,आमबर
aab,आब
ab,आब
mansil,मानसिल
lahon,लहों
nasson,नस्सों
katra,कटरा
katara,कटरा
khatra,कटरा
lahun,लाहुं
dohrayega,दोहराएगा
bar,भर
lamha,लमहा
lamaha,लमहा
musafir,मुसाफिर
musaafir,मुसाफिर
musaaphira,मुसाफिर
raaston,रास्तों
raasto,रास्तों
raasato,रास्तों
raasaton,रास्तों
baarishon,बारीशों
kushak,खुश्क
khushk,खुश्क
marhale,मरहाले
mujhme,मुझमे
mujhame,मुझमे
mujhamen,मुझमे
tehra,ठहरा
khudi,खुदी
tikhi,तीखी
nukili,नुकीली
uninde,उनिंदे
mastiyon,मस्तियों
ghunt,घूँट
ghoont,घूँट
tair,टायर
inn,इन्न
palon,पलों
palo,पलों
malamal,मालामाल
maalaamaal,मालामाल
phuaare,फुआरे
manchale,मनचले
manachale,मनचले
dagmagaati,डगमगाती
dagamagaati,डगमगाती
kos,कोस
besahram,बेसहराम
duwaan,दुवान
pike,पीके
peeke,पीके
piike,पीके
chakraaye,चक्राए
chakraye,चक्राए
muski,मुस्की
ganj,गंज
khuski,खुसकी
dukhon,दुखों
dukho,दुखों
hove,होवे
hate,हटे
public,पब्लिक
sainik,सैनिक
hamaka,हमका
hamka,हमका
humka,हमका
hamakaa,हमका
humakaa,हमका
bhaave,भावे
bhave,भावे
saai,साई
nagari,नागरी
naagari,नागरी
jaave,जावे
jaawe,जावे
pohonchaave,पोहॉंछावे
darad,दारद
sunaave,सुनावे
sunave,सुनावे
satguru,सतगुरु
bataave,बतावे
kahat,कहट
aave,आवे
aawe,आवे
tapan,तपन
bujhaave,बुझावे
khamoshiyan,खामोशियाँ
khaamoshiyaan,खामोशियाँ
khaamoshiyaa,खामोशियाँ
parbaton,परबातों
khaye,खाए
khaae,खाए
kaahe,खाए
ai,आई
ayi,आई
ay,आई
dhunwaan,धुनवान
kirane,किराने
kesariya,केसरिया
jamaana,जमाना
zamaanaa,जमाना
zamana,जमाना
jamaanaa,जमाना
zamaana,जमाना
ain,आईं
aain,आईं
aayi,आईं
ayi,आईं
aaya,आईं
nadiya,नादिया
khula,खुला
khulaa,खुला
diyon,दियों
huwa,हुवा
samajhake,समझके
bejaar,बेजार
murjhaati,मुरझाती
dikhalaati,दिखलाती
dikhalaatii,दिखलाती
dikhalaatee,दिखलाती
lehraake,लहराके
laharaake,लहराके
leharaake,लहराके
hasana,हसाना
dusaraali,दूसाराली
mubaaraka,मुबारका
aayo,आयो
nu,नू
raanjhan,रांझाँ
raanjha,रांझा
raanjhaa,रांझा
ranjha,रांझा
mileyaa,मिलेया
kone,कोने
hasate,हसते
haste,हसते
hasaate,हसाते
hasate,हसाते
manaate,मनाते
manate,मनाते
barso,बरसो
barson,बरसो
baraso,बरसो
barsoh,बरसो
mitaayenge,मिटाएँगे
mitayenge,मिटाएँगे
garaj,गरज
chaahato,चाहतो
chahton,चाहतो
chaahton,चाहतो
daayare,दायरे
daayre,दायरे
rukhaana,रुखाना
badhate,बढ़ते
badhte,बढ़ते
jharoko,झरोको
saaware,सावरे
kuche,कुचे
dikhe,दिखे
kaanto,कांतो
kyaariya,क्यारिया
kiaryian,क्यारिया
hawaaye,हवाए
patango,पतंगो
chaadare,चादरे
lagaake,लगाके
lagake,लगाके
khaabon,खाबों
khwabon,खाबों
kwabon,खाबों
huk,हुक
sarhadon,सरहदों
parinde,परिंदे
mitra,मित्रा
utaare,उतारे
nas,नस
aoni,आओनी
boni,बोनी
beriyon,बेरियों
ber,बेर
chasaka,चासका
chaska,चासका
mundere,मुंदरे
deewaare,दीवारे
range,रंगे
bechkar,बेचकर
mand,मंद
kudaratein,कुदरतें
muddat,मुद्दत
samete,समेटे
ghaanv,घानव
bote,बोते
chiththi,चित्ति
padh,पढ़
sehala,सहला
sahala,सहला
sahalaa,सहला
bataati,बताती
batati,बताती
pehchaanana,पहचानना
pahachaanana,पहचानना
haaru,हारू
dilme,दिल्मे
dabi,दबी
dabii,दबी
dabee,दबी
sambhal,संभाल
bekarariya,बेकरारिया
bekaraarian,बेकरारिया
khumariya,खुमरिया
khumariyan,खुमरिया
chupaliya,चुपलिया
libasme,लिबास्मे
talashme,तलाशमे
shyamosehar,श्यामोसेहर
rahu,राहु
rahun,राहु
raahu,राहु
laboko,लाबोको
badgumaa,बदगुमा
badguma,बदगुमा
intezaar,इंतजार
intjaar,इंतजार
intjar,इंतजार
armaan,अर्मा
armaa,अर्मा
kahun,काहु
kahu,काहु
kaafile,काफिले
kafile,काफिले
waadiyan,वाडिया
wadiya,वाडिया
jahan,जहा
jaha,जहा
jahaan,जहा
akhe,आखे
inshalla,इंशाल्ला
jaduki,जादुकी
chuwa,चुवा
sagali,सगली
udagayi,उड़गाई
janejana,जानेजाना
jaanejaanaa,जानेजाना
palakome,पलकोमे
raatbhar,रातभर
yaadoke,याडोके
boyaa,बोया
boya,बोया
sadiya,सादिया
sadiyaan,सादिया
we,वी
ve,वी
vee,वी
samyke,समयके
yade,यादे
yaade,यादे
kwabokhayalo,कवाबोखयालो
pechida,पेचीदा
pecheeda,पेचीदा
yadome,यादोमे
shyamoseher,श्यामोसेहेर
unsune,उनसुने
bejuba,बजुबा
lamhoki,लम्होकी
leharo,लहरो
lehron,लहरो
laharo,लहरो
phulwariya,फुलवारिया
phulwariyan,फुलवारिया
baahe,बाहे
terehi,टेरेही
damase,दमसे
terebina,तेरेबिना
loriyoko,लोरियोको
mamatato,ममततो
donoki,दोनोकी
andheri,अंधेरी
anderi,अंधेरी
andheree,अंधेरी
u,उ
hu,हू
hoo,हू
ho,हू
sajanameri,सजनामेरी
maula,मौला
maulaa,मौला
biba,बीबा
mahi,माही
maahi,माही
mathe,माही
maahii,माही
sasome,ससोमे
bedari,बेडारी
ramaye,रमाय
ramaaye,रमाय
dhuni,धुनि
padhake,पढ़के
arajoone,आरजूने
farmaya,फरमाया
samaje,समजे
galiyonme,गलियोनमे
kwahishoka,क्वाहिशोका
gujar,गुजर
guzar,गुजर
sargoshiyo,सरगोशियो
madhoshiyome,मदहोशियोमे
ashiki,आशिकी
silisili,सिलिसिली
raate,राते
bhigebhige,भिगेभिगे
suku,सुकु
sabar,सबर
chahate,चाहते
chaahate,चाहते
chaahte,चाहते
chaahaten,चाहते
chahte,चाहते
chahu,चाहू
sase,ससे
bahome,बाहोमे
aach,आच
pighalane,पिघलने
pighalne,पिघलने
jalane,जलाने
jalaane,जलाने
khaab,खाब
pauni,पौनी
tai,टाई
taai,टाई
duwa,दुवा
duva,दुवा
duaa,दुवा
basar,बसर
laayegi,लाएगी
laaegi,लाएगी
laaegii,लाएगी
yakin,यकीन
yakiin,यकीन
like,लीके
girl,गर्ल
badhati,बढ़ती
badhti,बढ़ती
mudake,मुड़के
hot,हॉट
on,ओं
oh,ओं
chhora,छ्होरा
chhori,छ्होरी
am,आम
aam,आम
plan,प्लान
baandhakar,बाँधकर
duriya,दूरिया
dooriyan,दूरिया
adaaye,अदाए
ll,ल्ल
mine,मिने
of,ऑफ
off,ऑफ
ayega,आएगा
aaegaa,आएगा
aaega,आएगा
aega,आएगा
lusty,लस्टी
andekhi,अनदेखी
ansuni,अनसुनी
hawaao,हवाओ
hawaon,हवाओ
hawaaon,हवाओ
huwe,हुवे
huve,हुवे
milaate,मिलाते
muh,मूह
mooh,मूह
bereham,बेरहम
beraham,बेरहम
shikaayatein,शिकायतें
shikayatein,शिकायतें
karu,करू
pari,पारी
sahu,साहू
saahu,साहू
faasala,फासला
fasla,फासला
chhute,च्छुटे
sam,सम
sama,सम
some,सम
sum,सम
sapano,सपनो
sapno,सपनो
sapanon,सपनो
bahaara,बहारा
bahara,बहारा
faraar,फरार
saawariyaan,सावरियाँ
sawariya,सावरियाँ
bijuriya,बीजूरिया
baadaliya,बादलिया
ghana,घाना
ganah,घाना
chhalake,च्चालके
baarishein,बारिशें
baarishe,बारिशें
windein,विंदें
libaas,लिबास
libase,लिबास
ranj,रंज
laung,लौंग
gawacha,गवाचा
gavaacha,गवाचा
niga,निगा
marda,मार्दा
maarda,मार्दा
rus,रूस
ruus,रूस
jaande,जांदे
karde,कर्दे
manayi,मनाई
manaai,मनाई
kaliyan,कालियाँ
kaaliyaan,कालियाँ
aaysi,आयासी
aayaasi,आयासी
panda,पंडा
urake,उरके
marda,मर्दा
alung,अलुंग
lashkara,लश्कारा
lashkaara,लश्कारा
ute,उते
luka,लूका
pariyan,पारियाँ
jande,जंदे
tenu,तेनू
chhaaiyve,छ्चाईयवे
english,इंग्लीश
jhumar,झूमर
jhuumar,झूमर
haatho,हाथो
hatho,हाथो
khanke,खनके
pairo,पैरो
everybody,एवेरिबडी
sing,सींग
seeng,सींग
kharabi,खराबी
rangini,रंगिनी
kaliyan,कालिया
kaliya,कालिया
kaaliya,कालिया
bhini,भीनी
halke,हल्के
halake,हल्के
shehnaiya,शहनाईया
jitne,जीतने
jeetne,जीतने
sajhke,साझके
mehndi,मेहन्दी
mehandii,मेहन्दी
mehandi,मेहन्दी
doli,डॉली
lau,लाउ
kawariyaan,कवरियाँ
laiyaan,लैइयाँ
bemaariyan,बेमारियाँ
munde,मुंडे
yaariyan,यारियाँ
nure,नूरे
andha,अँधा
heer,हीर
hir,हीर
isanu,इसानू
raanjhe,रांझे
raanze,रांझे
chiththa,चित्ता
hoya,होया
sagai,सगाई
sagaai,सगाई
sagaaii,सगाई
sagaayi,सगाई
sagayi,सगाई
mitro,मित्रो
sasra,सासरा
hasse,हास्से
kariye,करिए
dasse,डाससे
mehendi,महेंडी
launda,लौंडा
maththe,मत्थे
mathe,मत्थे
kisda,किसदा
enu,एनू
aaiya,आइया
vich,विच
wich,विच
sadta,सदता
kehde,केहदे
inhe,इन्हे
sudhare,सुधरे
enna,एन्ना
rud,रुड
sade,सादे
saade,सादे
todiyan,तोडियान
nipat,निपात
kinna,किन्ना
rawaan,रवाँ
ravaan,रवाँ
murda,मुर्दा
wasa,वसा
wekhi,वेखी
janwan,जनवान
kaul,कौल
betha,बेता
betaa,बेता
beta,बेता
real,रियल
spring,स्प्रिंग
bring,ब्रिंग
b,ब
ba,ब
sad,साद
d,द
my,मी
noticed,नोटीस्ड
stole,स्टोल
heart,हार्ट
pain,पाईं
paain,पाईं
paayin,पाईं
paayi,पाईं
hold,होल्ड
eyes,एएस
jamaalo,जमालो
tutak,टूटक
tuhtiyaan,तुहतियाँ
tutaan,तूटान
gallaan,गल्लां
gallan,गल्लां
maththa,मत्ता
utte,उत्ते
uttey,उत्ते
tikka,तिक्का
manmohna,मनमोहना
manamohanaa,मनमोहना
kajle,कजले
bull,बुल
bul,बुल
patali,पतली
patli,पतली
rahimpuri,रहिमपुरी
turi,टूरी
dhaahni,ढाहनी
mundiyaan,मुंडीयाँ
nakk,नक्क
koke,कोके
motiyaan,मोतियाँ
saanu,सानू
ditta,दीतता
gur,गुर
naalo,नालो
kad,कद
manda,मंदा
mandaa,मंदा
khala,खाला
ganne,गन्ने
choop,चूप
pole,पोले
takari,तकारी
tarel,तारेल
mudka,मुदका
sharaabiyaan,शराबियाँ
akhaan,अखान
darji,दर्जी
chon,चों
taaki,ताकि
kurti,कुरती
kurati,कुरती
malmal,मलमल
malamal,मलमल
vichon,विचों
wichon,विचों
chahtiyaan,चाहटियाँ
lorh,लोरह
mitraan,मितरां
latho,लतो
patna,पटना
patana,पटना
chay,चाय
chaay,चाय
chaai,चाय
chai,चाय
vas,वास
wass,वास
vaas,वास
soniya,सोनिया
chimna,चिमना
maaran,मारन
ch,च
cha,च
akh,अख
kargi,कारगी
palla,पल्ला
pallaa,पल्ला
deeva,दीवा
waal,वाल
vaala,वाल
waala,वाल
wala,वाल
vichaarde,विचारदे
bhangra,भंगरा
paayo,पायो
payo,पायो
gidha,गिधा
kudiyo,कूडियो
ajj,अज्ज
malkeet,मालकीट
beparwaah,बेपरवाह
beparwah,बेपरवाह
takadi,तकादी
ghadri,घाद्री
suhm,सुहम
jagaavi,जागावी
jaavi,जावी
buhe,बुहे
baariya,बारिया
baindi,बैंडी
kehndi,केहंदी
paga,पगा
jagaake,जगाके
laake,लाके
lake,लाके
churaavi,चुरावी
sohne,सोहने
sohane,सोहने
jaaniya,जानिया
maaniya,मानिया
muchche,मुच्छे
waaja,वाजा
joban,जोबन
dhal,ढाल
daal,ढाल
eh,एह
bhulaavi,भुलावी
saawe,सावे
akhiya,अखिया
akhiyan,अखिया
jindgaani,जिंदगानी
jindagaani,जिंदगानी
masataani,मसतानी
mastani,मसतानी
jhoomka,झूमका
girade,गिरादे
mitaade,मितादे
mitade,मितादे
nachke,नाचके
milaade,मिलादे
milade,मिलादे
behaal,बहाल
nobody,नोबडी
lagaike,लगायके
yu,यू
kamar,कमर
kamara,कमर
qamar,कमर
saapnon,सापनों
huske,हुसके
dhoondon,ढूँदों
ruku,रुकु
saase,सासे
mitade,मितदे
kaashini,काशिनी
pipali,पिपली
pat,पाट
hega,हेगा
kinne,किनने
hulaara,हुलारा
keda,केडा
kitte,कितते
chi,ची
karaare,करारे
suhi,सूही
chaare,चारे
chhalaka,च्चालका
sapani,सपनी
je,जे
jeee,जे
chaanjara,छांजरा
chhanaka,च्चानाका
tagali,तगाली
laade,लादे
niri,निरि
mangata,माँगता
maangata,माँगता
maangta,माँगता
tawindarata,तविंदरता
chupaki,चुपकी
ding,डींग
watan,वाटन
jiname,जिनमे
khushiya,खुशिया
gham,घाम
ghaam,घाम
nasale,नसले
ishk,इश्क
jharne,झरने
hila,हिला
hilaa,हिला
hans,हंस
rej,रेज
thumake,ठुमके
jaava,जावा
jaawa,जावा
jawa,जावा
kaano,कानो
hasati,हसती
mhaara,म्हारा
maaheruba,माहेरूबा
jasbaat,जसबात
maangu,मांगू
maanguu,मांगू
lamhaaton,लम्हातों
rubaru,रूबरू
dillaggi,दिल्लग्गी
dekhoge,देखोगे
milunga,मिलूँगा
teriyaan,टेरियाँ
meriyaan,मेरियाँ
deriyaan,दरियाँ
pakane,पकने
beriyaan,बेरियाँ
doriyaan,डोरियाँ
naiyyo,नाय्यो
raataan,रातान
lambiyaan,लंबियाँ
bairiyaan,बैरियाँ
jaaniyaan,जानियाँ
baataan,बातान
changiya,चांगिया
mangiya,मांगिया
kaati,काटी
kaatii,काटी
baati,बाटी
jaanemann,जानेमंन
waadein,वादें
vaadein,वादें
jagaate,जगाते
paagalapan,पागलपन
paagalpan,पागलपन
bikharein,बिखारें
lamahe,लमहे
kaaynaat,कायनात
qayenaat,कायनात
gunjate,गूंजते
goonjte,गूंजते
masala,मसाला
masaala,मसाला
mehfilein,महफिलें
lamahon,लमहों
lamhon,लमहों
parchhaayiyaan,परच्छाइयाँ
raahat,राहत
rahat,राहत
raat,राहत
maangati,मांगती
maangti,मांगती
maangatee,मांगती
betaabiyaan,बेताबियाँ
betaabian,बेताबियाँ
betaabiyan,बेताबियाँ
betaabiya,बेताबियाँ
betabiyan,बेताबियाँ
betabiyaan,बेताबियाँ
armaano,अरमानो
aramaanon,अरमानो
armaanon,अरमानो
just,जस्ट
hell,हेल
dekhu,देखु
dekhun,देखु
bolu,बोलू
raahtein,राहतें
raahaten,राहतें
tapati,तपती
tapti,तपती
bechainiyon,बेचैनियों
becheiniyon,बेचैनियों
sochu,सोचु
ratiyaan,रतियाँ
rateiyan,रतियाँ
ratiyan,रतियाँ
muskuraana,मुस्कुराना
muskurana,मुस्कुराना
muskuraanaa,मुस्कुराना
udake,उड़के
andesa,अंदेसा
andesha,अंदेसा
jari,जारी
zari,जारी
jaari,जारी
bunake,बुनके
labjon,लब्जों
chunake,चुनके
chamaka,चमका
chamka,चमका
chamakaa,चमका
chamkaa,चमका
malang,मलांग
rahiman,रहिमान
chatkaana,चटकाना
chatkana,चटकाना
chatak,चटक
judana,जुड़ना
gaath,गात
gaat,गात
dinna,डिना
dina,डिना
rank,रंक
ranka,रंक
runk,रंक
aalim,आलिम
samandar,समंदर
samundar,समंदर
skandar,स्कंदर
sikandar,स्कंदर
dubake,डुबके
thukaraana,ठुकराना
thukrana,ठुकराना
thukraana,ठुकराना
tarasate,तरसते
taraste,तरसते
siskate,सिसकते
takate,ताकते
lutate,लूटते
jhapakate,झपकते
jhapakte,झपकते
lehak,लहक
lahak,लहक
lahek,लहक
bahot,बहोट
dino,दीनो
halk,हल्क
sukha,सूखा
sookhaa,सूखा
suukhaa,सूखा
guhaar,गुहार
kuke,कुके
chehake,चहके
chahake,चहके
chaheke,चहके
dikhenge,दिखेंगे
modo,मोडो
lipatke,लिपटके
rehmat,रहमत
rahamat,रहमत
moti,मोटी
motii,मोटी
maanus,मानुस
banno,बन्नो
chaukidaar,चौकीदार
thaanedaar,थानेदार
thanedaar,थानेदार
padhane,पढ़ने
padne,पढ़ने
qasame,कसमे
kasame,कसमे
nachaati,नचाती
nachati,नचाती
bukhaar,बुखार
gaayab,गायब
itawaar,इतवार
itwaar,इतवार
itvaar,इतवार
itavaar,इतवार
ullu,उल्लू
ulluu,उल्लू
barne,भरने
bharne,भरने
appa,अप्पा
pilaake,पिलाके
dulheraaje,दूलहेराजे
jhuti,झुटि
baawadi,बावादी
baaw,बाव
minister,मिनिस्टर
ministar,मिनिस्टर
dawaakhaana,दवाखाना
police,पोलीस
barister,बारिस्टेर
yojana,योजना
kawalli,कावल्ली
fariyaad,फरियाद
saabun,साबुन
atak,अटक
fasalein,फसलें
bona,बोना
nako,नको
heera,हीरा
hira,हीरा
hiraa,हीरा
samajhane,समझने
samajhne,समझने
samajne,समझने
samjhane,समझने
nanhen,नन्हें
tadapane,तड़पने
tadapne,तड़पने
gunjengi,गूंजेंगी
jaaengi,जाएंगी
jaaengii,जाएंगी
jaayengi,जाएंगी
jayengi,जाएंगी
jaayengee,जाएंगी
tanhaaiyaan,तन्हाईयां
tanhaiyaan,तन्हाईयां
mahaavar,महावर
lagaaungi,लगाऊंगी
lagaaoongi,लगाऊंगी
lagaayuungi,लगाऊंगी
sinduri,सिंदूरी
sindoori,सिंदूरी
sindooree,सिंदूरी
sinduurii,सिंदूरी
sajaaungi,सजाऊंगी
sajaauungii,सजाऊंगी
mahakane,महकने
mehekne,महकने
mahekne,महकने
mahekane,महकने
namaskaaram,नमस्कारम
vadakkam,वड़क्कम
svaagatam,स्वागतम
swaagatam,स्वागतम
mubaarakam,मुबारकम
tappaa,टप्पा
tappa,टप्पा
saiyoni,सैयोनी
suramedaani,सुरमेदानी
suramedaanii,सुरमेदानी
bhejungaa,भेजूंगा
bhejuungaa,भेजूंगा
jode,जोड़े
jore,जोड़े
baansuriya,बाँसुरिया
baansuriyaa,बाँसुरिया
baasureeyaa,बाँसुरिया
baasureeyaan,बाँसुरिया
bajai,बजाई
bajaai,बजाई
bajaayi,बजाई
sarak,सरक
hansaai,हँसाई
hansaayi,हँसाई
jaaven,जावें
jit,जित
bihaari,बिहारी
dagariyaa,डगरिया
dagariya,डगरिया
hoo,होओ
nadi,नदि
paani,पानि
churaakar,चुराकर
apane,अप्ने
jaaun,जाऊं
jaauun,जाऊं
jaun,जाऊं
deewaani,दीवानि
uthati,उठ्ति
girti,गिर्ति
leharen,लेह्रें
aanewaali,आनेवालि
bani,बनि
ravaani,रवानि
chhotisi,छोटीसि
naadaani,नादानि
zindagi,ज़िन्दगि
suhaani,सुहानि
bachapan,बच्पन
bachpan,बच्पन
muravvat,मुरव्वत
thik,ठीक
jalakar,जलकर
jalkar,जलकर
lute,लुटे
baasi,बासी
basi,बासी
dekhanewaale,देखनेवाले
dekhanevaale,देखनेवाले
maali,माली
maalee,माली
jalaaya,जलाय
bujhaaya,बुझाय
hansata,हंसता
hansataa,हंसता
tadapaane,तड़पाने
tadpaane,तड़पाने
beeraanaa,बीराना
biiraanaa,बीराना
akhiyan,अखियन
aakhiyan,अखियन
akhiyon,अखियन
ankhiyon,अखियन
muskaya,मुस्काया
muskaayaa,मुस्काया
muskaaya,मुस्काया
jaadugar,जादुगर
dhuundhenge,ढूँढेंगे
dhundhenge,ढूँढेंगे
dhoondhenge,ढूँढेंगे
nachoongi,नाचूंगी
naachuungi,नाचूंगी
tilak,तिलक
saheliyon,सहेलियों
chhupte,छुपते
chhupate,छुपते
chupate,छुपते
khadke,खड़के
dafa,दफ़ा
dafaa,दफ़ा
bachakar,बचकर
bachkar,बचकर
nikalate,निकलते
nikalte,निकलते
amaanat,अमानत
amanat,अमानत
saanson,सांसों
saanso,सांसों
saason,सांसों
nazaaron,नज़ारों
nazaron,नज़ारों
najaroon,नज़ारों
najaro,नज़ारों
nazaaro,नज़ारों
najaaro,नज़ारों
tootate,टूटते
tuutate,टूटते
tutte,टूटते
sahaaron,सहारों
tarika,तरीका
badlega,बदलेगा
badalega,बदलेगा
badalegaa,बदलेगा
saha,सहा
sahaa,सहा
chuki,चुकी
chukii,चुकी
taalo,टालो
palati,पलती
palatii,पलती
palti,पलती
khaamoshiyon,खामोशियों
khamoshiyoon,खामोशियों
khamoshiyo,खामोशियों
khamoshiyon,खामोशियों
tumhaari,तुमहारी
zulfon,ज़ुल्फों
champaai,चम्पाई
sunlo,सुनलो
sunalo,सुनलो
rangila,रंगीला
rangilaa,रंगीला
rangeela,रंगीला
rangiilaa,रंगीला
dikhaayun,दिखाऊँ
dikhaun,दिखाऊँ
dikhaaoon,दिखाऊँ
dikhaauun,दिखाऊँ
dikhaaun,दिखाऊँ
vaayada,वायदा
vayada,वायदा
meharbaan,मेहरबां
meharabaan,मेहरबां
meherbaan,मेहरबां
meharaban,मेहरबां
mehrban,मेहरबां
malika,मलिका
malikaa,मलिका
mallika,मलिका
kanval,कंवल
kanwal,कंवल
pattiyaan,पत्तियां
